Time,DI1,DI2,DI3,DI4,DI5,DI6,I1L_valid,V1 [10nV],I1L [10pA],I1H [nA],V1,I1L,I1H
,1,0,1,1,1,0,1,133514,-94508,-500011,0.00133514,-9.4508E-07,-0.000500011
,1,0,1,1,1,0,1,134003,-93000,-499820,0.00134003,-0.00000093,-0.00049982
,1,0,1,1,1,0,1,134125,-92317,-498962,0.00134125,-9.2317E-07,-0.000498962
,1,0,1,1,1,0,1,133269,-90406,-501092,0.00133269,-9.0406E-07,-0.000501092
,1,0,1,1,1,0,1,132291,-92474,-497817,0.00132291,-9.2474E-07,-0.000497817
,1,0,1,1,1,0,1,132536,-97225,-499407,0.00132536,-9.7225E-07,-0.000499407
,1,0,1,1,1,0,1,133392,-97663,-501092,0.00133392,-9.7663E-07,-0.000501092
,1,0,1,1,1,0,1,133147,-96997,-498803,0.00133147,-9.6997E-07,-0.000498803
,1,0,1,1,1,0,1,132903,-99434,-496896,0.00132903,-9.9434E-07,-0.000496896
,1,0,1,1,1,0,1,133758,-95630,-497849,0.00133758,-9.563E-07,-0.000497849
,1,0,1,1,1,0,1,132414,-97856,-499725,0.00132414,-9.7856E-07,-0.000499725
,1,0,1,1,1,0,1,132291,-97663,-499629,0.00132291,-9.7663E-07,-0.000499629
,1,0,1,1,1,0,1,133269,-97348,-499820,0.00133269,-9.7348E-07,-0.00049982
,1,0,1,1,1,0,1,133269,-90599,-500106,0.00133269,-9.0599E-07,-0.000500106
,1,0,1,1,1,0,1,133392,-94473,-502268,0.00133392,-9.4473E-07,-0.000502268
,1,0,1,1,1,0,1,133636,-94175,-500361,0.00133636,-9.4175E-07,-0.000500361
,1,0,1,1,1,0,1,132291,-91703,-498040,0.00132291,-9.1703E-07,-0.00049804
,1,0,1,1,1,0,1,132169,-92387,-498803,0.00132169,-9.2387E-07,-0.000498803
,1,0,1,1,1,0,1,133147,-92807,-498867,0.00133147,-9.2807E-07,-0.000498867
,1,0,1,1,1,0,1,133392,-93456,-499757,0.00133392,-9.3456E-07,-0.000499757
,1,0,1,1,1,0,1,133147,-100468,-498294,0.00133147,-1.00468E-06,-0.000498294
,1,0,1,1,1,0,1,133147,-97611,-497150,0.00133147,-9.7611E-07,-0.00049715
,1,0,1,1,1,0,1,132780,-95682,-498453,0.0013278,-9.5682E-07,-0.000498453
,1,0,1,1,1,0,1,132291,-96226,-499280,0.00132291,-9.6226E-07,-0.00049928
,1,0,1,1,1,0,1,133514,-97383,-498517,0.00133514,-9.7383E-07,-0.000498517
,1,0,1,1,1,0,1,133147,-100889,-499502,0.00133147,-1.00889E-06,-0.000499502
,1,0,1,1,1,0,1,132903,-99171,-501569,0.00132903,-9.9171E-07,-0.000501569
,1,0,1,1,1,0,1,133758,-99557,-499471,0.00133758,-9.9557E-07,-0.000499471
,1,0,1,1,1,0,1,132536,-99452,-499725,0.00132536,-9.9452E-07,-0.000499725
,1,0,1,1,1,0,1,133269,-95858,-500551,0.00133269,-9.5858E-07,-0.000500551
,1,0,1,1,1,0,1,133147,-93193,-499916,0.00133147,-9.3193E-07,-0.000499916
,1,0,1,1,1,0,1,132169,-91212,-498580,0.00132169,-9.1212E-07,-0.00049858
,1,0,1,1,1,0,1,131680,-89266,-499598,0.0013168,-8.9266E-07,-0.000499598
,1,0,1,1,1,0,1,133147,-93088,-499629,0.00133147,-9.3088E-07,-0.000499629
,1,0,1,1,1,0,1,133392,-96962,-498867,0.00133392,-9.6962E-07,-0.000498867
1550139520,1,0,1,1,1,0,1,134247,-96927,-500233,0.00134247,-9.6927E-07,-0.000500233
,1,0,1,1,1,0,1,133758,-96945,-500520,0.00133758,-9.6945E-07,-0.00050052
,1,0,1,1,1,0,1,133392,-98873,-499788,0.00133392,-9.8873E-07,-0.000499788
,1,0,1,1,1,0,1,134003,-97979,-500583,0.00134003,-9.7979E-07,-0.000500583
,1,0,1,1,1,0,1,133147,-99294,-501759,0.00133147,-9.9294E-07,-0.000501759
,1,0,1,1,1,0,1,132536,-97699,-501918,0.00132536,-9.7699E-07,-0.000501918
,1,0,1,1,1,0,1,132169,-93789,-500297,0.00132169,-9.3789E-07,-0.000500297
,1,0,1,1,1,0,1,132291,-95349,-501569,0.00132291,-9.5349E-07,-0.000501569
,1,0,1,1,1,0,1,133147,-99855,-501696,0.00133147,-9.9855E-07,-0.000501696
,1,0,1,1,1,0,1,133025,-98575,-499852,0.00133025,-9.8575E-07,-0.000499852
,1,0,1,1,1,0,1,133636,-98487,-500615,0.00133636,-9.8487E-07,-0.000500615
,1,0,1,1,1,0,1,133881,-99119,-499852,0.00133881,-9.9119E-07,-0.000499852
,1,0,1,1,1,0,1,132903,-100626,-499979,0.00132903,-1.00626E-06,-0.000499979
,1,0,1,1,1,0,1,132536,-99557,-498135,0.00132536,-9.9557E-07,-0.000498135
,1,0,1,1,1,0,1,132658,-95402,-498708,0.00132658,-9.5402E-07,-0.000498708
,1,0,1,1,1,0,1,133025,-95086,-500233,0.00133025,-9.5086E-07,-0.000500233
,1,0,1,1,1,0,1,133514,-95875,-499693,0.00133514,-9.5875E-07,-0.000499693
,1,0,1,1,1,0,1,133147,-90616,-498040,0.00133147,-9.0616E-07,-0.00049804
,1,0,1,1,1,0,1,133269,-94245,-499471,0.00133269,-9.4245E-07,-0.000499471
,1,0,1,1,1,0,1,131558,-99452,-499312,0.00131558,-9.9452E-07,-0.000499312
,1,0,1,1,1,0,1,131924,-93088,-499216,0.00131924,-9.3088E-07,-0.000499216
,1,0,1,1,1,0,1,132903,-91423,-499502,0.00132903,-9.1423E-07,-0.000499502
,1,0,1,1,1,0,1,133758,-94788,-499216,0.00133758,-9.4788E-07,-0.000499216
,1,0,1,1,1,0,1,134125,-95928,-498676,0.00134125,-9.5928E-07,-0.000498676
,1,0,1,1,1,0,1,134003,-96489,-497786,0.00134003,-9.6489E-07,-0.000497786
,1,0,1,1,1,0,1,133636,-94964,-501823,0.00133636,-9.4964E-07,-0.000501823
,1,0,1,1,1,0,1,133758,-98084,-499153,0.00133758,-9.8084E-07,-0.000499153
,1,0,1,1,1,0,1,133636,-98610,-497182,0.00133636,-9.861E-07,-0.000497182
,1,0,1,1,1,0,1,134003,-93246,-499566,0.00134003,-9.3246E-07,-0.000499566
,1,0,1,1,1,0,1,134003,-87601,-498771,0.00134003,-8.7601E-07,-0.000498771
,1,0,1,1,1,0,1,133514,-85778,-499598,0.00133514,-8.5778E-07,-0.000499598
,1,0,1,1,1,0,1,133881,-89775,-500742,0.00133881,-8.9775E-07,-0.000500742
,1,0,1,1,1,0,1,134247,-89196,-499979,0.00134247,-8.9196E-07,-0.000499979
,1,0,1,1,1,0,1,133636,-93842,-498453,0.00133636,-9.3842E-07,-0.000498453
,1,0,1,1,1,0,1,133269,-98417,-499693,0.00133269,-9.8417E-07,-0.000499693
,1,0,1,1,1,0,1,132903,-100749,-499820,0.00132903,-1.00749E-06,-0.00049982
,1,0,1,1,1,0,1,132780,-95332,-500106,0.0013278,-9.5332E-07,-0.000500106
,1,0,1,1,1,0,1,132903,-99311,-499661,0.00132903,-9.9311E-07,-0.000499661
,1,0,1,1,1,0,1,133392,-98522,-499661,0.00133392,-9.8522E-07,-0.000499661
,1,0,1,1,1,0,1,132536,-92597,-498072,0.00132536,-9.2597E-07,-0.000498072
,1,0,1,1,1,0,1,133025,-92194,-498708,0.00133025,-9.2194E-07,-0.000498708
,1,0,1,1,1,0,1,133636,-97488,-498739,0.00133636,-9.7488E-07,-0.000498739
,1,0,1,1,1,0,1,133758,-96226,-497659,0.00133758,-9.6226E-07,-0.000497659
,1,0,1,1,1,0,1,133758,-96436,-498771,0.00133758,-9.6436E-07,-0.000498771
,1,0,1,1,1,0,1,132903,-99381,-500043,0.00132903,-9.9381E-07,-0.000500043
,1,0,1,1,1,0,1,133758,-103203,-500456,0.00133758,-1.03203E-06,-0.000500456
,1,0,1,1,1,0,1,133147,-99154,-501378,0.00133147,-9.9154E-07,-0.000501378
,1,0,1,1,1,0,1,133392,-93912,-499534,0.00133392,-9.3912E-07,-0.000499534
,1,0,1,1,1,0,1,133025,-92650,-499248,0.00133025,-9.265E-07,-0.000499248
,1,0,1,1,1,0,1,133881,-94035,-499979,0.00133881,-9.4035E-07,-0.000499979
,1,0,1,1,1,0,1,133514,-92387,-497786,0.00133514,-9.2387E-07,-0.000497786
,1,0,1,1,1,0,1,133392,-92124,-499502,0.00133392,-9.2124E-07,-0.000499502
,1,0,1,1,1,0,1,134003,-94105,-498421,0.00134003,-9.4105E-07,-0.000498421
,1,0,1,1,1,0,1,131924,-95016,-498580,0.00131924,-9.5016E-07,-0.00049858
,1,0,1,1,1,0,1,132780,-97821,-500424,0.0013278,-9.7821E-07,-0.000500424
,1,0,1,1,1,0,1,134125,-101222,-502840,0.00134125,-1.01222E-06,-0.00050284
,1,0,1,1,1,0,1,132903,-99031,-502427,0.00132903,-9.9031E-07,-0.000502427
,1,0,1,1,1,0,1,133147,-101362,-500392,0.00133147,-1.01362E-06,-0.000500392
,1,0,1,1,1,0,1,133514,-96208,-498930,0.00133514,-9.6208E-07,-0.00049893
,1,0,1,1,1,0,1,132903,-96454,-497500,0.00132903,-9.6454E-07,-0.0004975
,1,0,1,1,1,0,1,132780,-99189,-498867,0.0013278,-9.9189E-07,-0.000498867
,1,0,1,1,1,0,1,132780,-94350,-499407,0.0013278,-9.435E-07,-0.000499407
,1,0,1,1,1,0,1,133514,-91458,-499566,0.00133514,-9.1458E-07,-0.000499566
,1,0,1,1,1,0,1,133269,-96769,-500933,0.00133269,-9.6769E-07,-0.000500933
,1,0,1,1,1,0,1,134247,-97874,-497722,0.00134247,-9.7874E-07,-0.000497722
,1,0,1,1,1,0,1,133758,-96261,-497913,0.00133758,-9.6261E-07,-0.000497913
,1,0,1,1,1,0,1,132536,-97804,-497372,0.00132536,-9.7804E-07,-0.000497372
,1,0,1,1,1,0,1,133392,-103589,-498421,0.00133392,-1.03589E-06,-0.000498421
,1,0,1,1,1,0,1,133269,-103221,-498072,0.00133269,-1.03221E-06,-0.000498072
,1,0,1,1,1,0,1,134003,-100609,-498644,0.00134003,-1.00609E-06,-0.000498644
,1,0,1,1,1,0,1,132780,-98996,-500043,0.0013278,-9.8996E-07,-0.000500043
,1,0,1,1,1,0,1,133147,-93263,-499025,0.00133147,-9.3263E-07,-0.000499025
,1,0,1,1,1,0,1,132536,-89547,-498898,0.00132536,-8.9547E-07,-0.000498898
,1,0,1,1,1,0,1,132536,-93439,-499089,0.00132536,-9.3439E-07,-0.000499089
,1,0,1,1,1,0,1,132903,-93526,-499757,0.00132903,-9.3526E-07,-0.000499757
,1,0,1,1,1,0,1,133392,-95384,-499788,0.00133392,-9.5384E-07,-0.000499788
,1,0,1,1,1,0,1,132536,-98838,-498104,0.00132536,-9.8838E-07,-0.000498104
,1,0,1,1,1,0,1,133392,-104536,-500075,0.00133392,-1.04536E-06,-0.000500075
